record_id,filename,image_path,source_bucket,source_dataset,width,height,quality_label,scene_type,primary_subject,expected_live_tip,expected_pause_summary,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,eval_tags,technical_quality_defects,problems,positive_factors,review_status,sha256
ca_img_001,001.jpg,docs/cameraanalysis/dataset/inbox/images/001.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,cinematic_single_portrait,молодой человек в оранжевой одежде,Кадр читается хорошо: герой выделен светом и цветом.,"Герой выделен цветом и теплым светом; темнота является стилем, а не ошибкой.",keep_current_setup,,level_horizon|step_closer|simplify_background|add_front_fill_light,high,True,demo_good_cinematic|portrait|avoid_overcorrection,,,лицо или герой читается,ai_first_pass_needs_human_review,ac3419018b4257fd7da773abd43057ce7de3ce6cf49e0761cbbb8b54f190a973
ca_img_002,002.jpg,docs/cameraanalysis/dataset/inbox/images/002.jpg,curated_user_inbox,user_curated_candidate,1280,720,mixed,presentation_medium_shot,спикер у флипчарта,"Возможно, стоит упростить фон или выбрать главный центр.","Спикер понятен, но люди и софтбокс на переднем плане конкурируют с ним.",simplify_background|shift_frame_right,,keep_current_setup|add_background_light,medium,False,presentation|background_clutter,background_clutter,фон или толпа конкурируют с главным субъектом,,ai_first_pass_needs_human_review,c912ac02f1a331ee8497c2e95a18a1b65c097a79be7abc2bf7eacb933ce3467e
ca_img_003,003.jpg,docs/cameraanalysis/dataset/inbox/images/003.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,cinematic_wide_portrait,человек на балконе у моря,Оставь широкий план: пространство здесь работает на историю.,Широкое пространство и силуэт работают как настроение; приближать героя не нужно.,keep_current_setup,,step_closer|shift_frame_left|level_horizon,high,True,demo_good_cinematic|wide_negative_space,,,пространство работает на историю,ai_first_pass_needs_human_review,78054ec118e6c5deec185c587960c197e90ebd93be4d7d143acc1fa10424ef46
ca_img_004,004.jpg,docs/cameraanalysis/dataset/inbox/images/004.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,two_person_stage_scene,двое людей с мечами,"Группа читается хорошо, сильных исправлений не нужно.","Два участника читаются как группа, действие понятно.",keep_current_setup,,step_closer|move_subject_left|move_subject_right,high,False,group_subject|stage,,,несколько людей читаются как группа,ai_first_pass_needs_human_review,de74471d319b6b49db0615358c18294b49b985c642e3dd9731467d1d7e4b0a32
ca_img_005,005.jpg,docs/cameraanalysis/dataset/inbox/images/005.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,stage_single_subject,человек в проеме красных штор,Оставь кадр: рамка хорошо выделяет героя.,Красные шторы создают сильную рамку вокруг субъекта.,keep_current_setup,,simplify_background|shift_frame_left|level_horizon,high,True,demo_good_composition|framing,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,0a381eaf912d8dadc7686029d9100c7533f5fbb50b6bca00a4105acc4dc23509
ca_img_006,006.jpg,docs/cameraanalysis/dataset/inbox/images/006.jpg,curated_user_inbox,user_curated_candidate,1280,720,mixed,interview_portrait,мужчина в темном интерьере,"Возможно, субъекту нужен мягкий свет.","Лицо читается, но мягкий fill light улучшил бы отделение от темного фона.",add_front_fill_light,,level_horizon|step_closer,medium,False,portrait|low_light,low_light,субъект или сцена недостаточно освещены,,ai_first_pass_needs_human_review,8b632b7cfb1e98e9e651a936b93d33c3dd2f0d10f64ccdaf379fd5b2c9ea3db2
ca_img_007,007.jpg,docs/cameraanalysis/dataset/inbox/images/007.jpg,curated_user_inbox,user_curated_candidate,1280,720,mixed,group_dialogue_dark,трое людей в лесу,"Возможно, субъекту нужен мягкий свет.",Лица группы слабовато отделены от темного окружения.,add_front_fill_light,,level_horizon|step_closer,medium,False,group_subject|low_light,low_light,субъект или сцена недостаточно освещены,,ai_first_pass_needs_human_review,043b08e4a5956a44d3c35431daf10b1b78966d0e48e72f56d9a7d77098638c2e
ca_img_008,008.jpg,docs/cameraanalysis/dataset/inbox/images/008.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,outdoor_group_portrait,трое молодых людей на улице,"Группа читается хорошо, сильных исправлений не нужно.","Группа компактная, лица читаются, фон не забирает внимание.",keep_current_setup,,step_closer|simplify_background,high,False,group_subject|portrait,,,лицо или герой читается|несколько людей читаются как группа,ai_first_pass_needs_human_review,163c5d9fb64884b254e1a2fb49693fb2bfcbc4e600558d1cf96800d76a6cb4d8
ca_img_009,009.jpg,docs/cameraanalysis/dataset/inbox/images/009.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,cinematic_close_portrait,мужчина в очках,Кадр читается хорошо: герой выделен светом и цветом.,"Лицо крупно и ясно, теплый фон вторичен.",keep_current_setup,,step_closer|shift_frame_left,high,False,portrait,,,лицо или герой читается,ai_first_pass_needs_human_review,89b2aeafc32e7a358de775bd2b253073806fa98e4de0ace4b1539bd6e230d616
ca_img_010,010.jpg,docs/cameraanalysis/dataset/inbox/images/010.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,cinematic_wide_establishing,человек спиной на фоне города,Оставь широкий план: пространство здесь работает на историю.,Город и широкий план являются частью смысла; не надо механически приближаться.,keep_current_setup,,step_closer|simplify_background,high,True,demo_good_cinematic|establishing,,,пространство работает на историю,ai_first_pass_needs_human_review,c61493fe570004e08e7804fed2b41f73da6702934a97ee73f757075d17834b4b
