confidence_target,demo_priority,eval_tags,expected_live_tip,expected_pause_summary,expected_semantic_actions,filename,forbidden_actions,future_needed_actions,height,image_path,label_source,parent_filename,parent_record_id,positive_factors,primary_subject,problems,quality_label,record_id,review_status,scene_type,sha256,source_bucket,source_dataset,synthetic_recipe,technical_quality_defects,width
high,True,"['demo_good_cinematic', 'portrait', 'avoid_overcorrection']",Кадр читается хорошо: герой выделен светом и цветом.,"Герой выделен цветом и теплым светом; темнота является стилем, а не ошибкой.",['keep_current_setup'],001.jpg,"['level_horizon', 'step_closer', 'simplify_background', 'add_front_fill_light']",[],720,docs/cameraanalysis/dataset/inbox/images/001.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],молодой человек в оранжевой одежде,[],good,ca_img_001,ai_first_pass_needs_human_review,cinematic_single_portrait,ac3419018b4257fd7da773abd43057ce7de3ce6cf49e0761cbbb8b54f190a973,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['presentation', 'background_clutter']","Возможно, стоит упростить фон или выбрать главный центр.","Спикер понятен, но люди и софтбокс на переднем плане конкурируют с ним.","['simplify_background', 'shift_frame_right']",002.jpg,"['keep_current_setup', 'add_background_light']",[],720,docs/cameraanalysis/dataset/inbox/images/002.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],спикер у флипчарта,['фон или толпа конкурируют с главным субъектом'],mixed,ca_img_002,ai_first_pass_needs_human_review,presentation_medium_shot,c912ac02f1a331ee8497c2e95a18a1b65c097a79be7abc2bf7eacb933ce3467e,curated_user_inbox,user_curated_candidate,,['background_clutter'],1280
high,True,"['demo_good_cinematic', 'wide_negative_space']",Оставь широкий план: пространство здесь работает на историю.,Широкое пространство и силуэт работают как настроение; приближать героя не нужно.,['keep_current_setup'],003.jpg,"['step_closer', 'shift_frame_left', 'level_horizon']",[],720,docs/cameraanalysis/dataset/inbox/images/003.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['пространство работает на историю'],человек на балконе у моря,[],good,ca_img_003,ai_first_pass_needs_human_review,cinematic_wide_portrait,78054ec118e6c5deec185c587960c197e90ebd93be4d7d143acc1fa10424ef46,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['group_subject', 'stage']","Группа читается хорошо, сильных исправлений не нужно.","Два участника читаются как группа, действие понятно.",['keep_current_setup'],004.jpg,"['step_closer', 'move_subject_left', 'move_subject_right']",[],720,docs/cameraanalysis/dataset/inbox/images/004.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['несколько людей читаются как группа'],двое людей с мечами,[],good,ca_img_004,ai_first_pass_needs_human_review,two_person_stage_scene,de74471d319b6b49db0615358c18294b49b985c642e3dd9731467d1d7e4b0a32,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_composition', 'framing']",Оставь кадр: рамка хорошо выделяет героя.,Красные шторы создают сильную рамку вокруг субъекта.,['keep_current_setup'],005.jpg,"['simplify_background', 'shift_frame_left', 'level_horizon']",[],720,docs/cameraanalysis/dataset/inbox/images/005.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],человек в проеме красных штор,[],good,ca_img_005,ai_first_pass_needs_human_review,stage_single_subject,0a381eaf912d8dadc7686029d9100c7533f5fbb50b6bca00a4105acc4dc23509,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['portrait', 'low_light']","Возможно, субъекту нужен мягкий свет.","Лицо читается, но мягкий fill light улучшил бы отделение от темного фона.",['add_front_fill_light'],006.jpg,"['level_horizon', 'step_closer']",[],720,docs/cameraanalysis/dataset/inbox/images/006.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],мужчина в темном интерьере,['субъект или сцена недостаточно освещены'],mixed,ca_img_006,ai_first_pass_needs_human_review,interview_portrait,8b632b7cfb1e98e9e651a936b93d33c3dd2f0d10f64ccdaf379fd5b2c9ea3db2,curated_user_inbox,user_curated_candidate,,['low_light'],1280
medium,False,"['group_subject', 'low_light']","Возможно, субъекту нужен мягкий свет.",Лица группы слабовато отделены от темного окружения.,['add_front_fill_light'],007.jpg,"['level_horizon', 'step_closer']",[],720,docs/cameraanalysis/dataset/inbox/images/007.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],трое людей в лесу,['субъект или сцена недостаточно освещены'],mixed,ca_img_007,ai_first_pass_needs_human_review,group_dialogue_dark,043b08e4a5956a44d3c35431daf10b1b78966d0e48e72f56d9a7d77098638c2e,curated_user_inbox,user_curated_candidate,,['low_light'],1280
high,False,"['group_subject', 'portrait']","Группа читается хорошо, сильных исправлений не нужно.","Группа компактная, лица читаются, фон не забирает внимание.",['keep_current_setup'],008.jpg,"['step_closer', 'simplify_background']",[],720,docs/cameraanalysis/dataset/inbox/images/008.jpg,codex_visual_contact_sheet_review_2026-05-21,,,"['лицо или герой читается', 'несколько людей читаются как группа']",трое молодых людей на улице,[],good,ca_img_008,ai_first_pass_needs_human_review,outdoor_group_portrait,163c5d9fb64884b254e1a2fb49693fb2bfcbc4e600558d1cf96800d76a6cb4d8,curated_user_inbox,user_curated_candidate,,[],1280
high,False,['portrait'],Кадр читается хорошо: герой выделен светом и цветом.,"Лицо крупно и ясно, теплый фон вторичен.",['keep_current_setup'],009.jpg,"['step_closer', 'shift_frame_left']",[],720,docs/cameraanalysis/dataset/inbox/images/009.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],мужчина в очках,[],good,ca_img_009,ai_first_pass_needs_human_review,cinematic_close_portrait,89b2aeafc32e7a358de775bd2b253073806fa98e4de0ace4b1539bd6e230d616,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_cinematic', 'establishing']",Оставь широкий план: пространство здесь работает на историю.,Город и широкий план являются частью смысла; не надо механически приближаться.,['keep_current_setup'],010.jpg,"['step_closer', 'simplify_background']",[],720,docs/cameraanalysis/dataset/inbox/images/010.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['пространство работает на историю'],человек спиной на фоне города,[],good,ca_img_010,ai_first_pass_needs_human_review,cinematic_wide_establishing,c61493fe570004e08e7804fed2b41f73da6702934a97ee73f757075d17834b4b,curated_user_inbox,user_curated_candidate,,[],1280
