record_id,filename,image_path,source_bucket,source_dataset,width,height,sha256,quality_label,scene_type,primary_subject,positive_factors,problems,technical_quality_defects,expected_live_tip,expected_pause_summary,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,eval_tags,review_status,label_source,synthetic_recipe,parent_record_id,parent_filename
ca_img_001,001.jpg,docs/cameraanalysis/dataset/inbox/images/001.jpg,curated_user_inbox,user_curated_candidate,1280,720,ac3419018b4257fd7da773abd43057ce7de3ce6cf49e0761cbbb8b54f190a973,good,cinematic_single_portrait,молодой человек в оранжевой одежде,"[""лицо или герой читается""]",[],[],Кадр читается хорошо: герой выделен светом и цветом.,"Герой выделен цветом и теплым светом; темнота является стилем, а не ошибкой.","[""keep_current_setup""]",[],"[""level_horizon"", ""step_closer"", ""simplify_background"", ""add_front_fill_light""]",high,True,"[""demo_good_cinematic"", ""portrait"", ""avoid_overcorrection""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_002,002.jpg,docs/cameraanalysis/dataset/inbox/images/002.jpg,curated_user_inbox,user_curated_candidate,1280,720,c912ac02f1a331ee8497c2e95a18a1b65c097a79be7abc2bf7eacb933ce3467e,mixed,presentation_medium_shot,спикер у флипчарта,[],"[""фон или толпа конкурируют с главным субъектом""]","[""background_clutter""]","Возможно, стоит упростить фон или выбрать главный центр.","Спикер понятен, но люди и софтбокс на переднем плане конкурируют с ним.","[""simplify_background"", ""shift_frame_right""]",[],"[""keep_current_setup"", ""add_background_light""]",medium,False,"[""presentation"", ""background_clutter""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_003,003.jpg,docs/cameraanalysis/dataset/inbox/images/003.jpg,curated_user_inbox,user_curated_candidate,1280,720,78054ec118e6c5deec185c587960c197e90ebd93be4d7d143acc1fa10424ef46,good,cinematic_wide_portrait,человек на балконе у моря,"[""пространство работает на историю""]",[],[],Оставь широкий план: пространство здесь работает на историю.,Широкое пространство и силуэт работают как настроение; приближать героя не нужно.,"[""keep_current_setup""]",[],"[""step_closer"", ""shift_frame_left"", ""level_horizon""]",high,True,"[""demo_good_cinematic"", ""wide_negative_space""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_004,004.jpg,docs/cameraanalysis/dataset/inbox/images/004.jpg,curated_user_inbox,user_curated_candidate,1280,720,de74471d319b6b49db0615358c18294b49b985c642e3dd9731467d1d7e4b0a32,good,two_person_stage_scene,двое людей с мечами,"[""несколько людей читаются как группа""]",[],[],"Группа читается хорошо, сильных исправлений не нужно.","Два участника читаются как группа, действие понятно.","[""keep_current_setup""]",[],"[""step_closer"", ""move_subject_left"", ""move_subject_right""]",high,False,"[""group_subject"", ""stage""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_005,005.jpg,docs/cameraanalysis/dataset/inbox/images/005.jpg,curated_user_inbox,user_curated_candidate,1280,720,0a381eaf912d8dadc7686029d9100c7533f5fbb50b6bca00a4105acc4dc23509,good,stage_single_subject,человек в проеме красных штор,"[""композиция и свет поддерживают замысел""]",[],[],Оставь кадр: рамка хорошо выделяет героя.,Красные шторы создают сильную рамку вокруг субъекта.,"[""keep_current_setup""]",[],"[""simplify_background"", ""shift_frame_left"", ""level_horizon""]",high,True,"[""demo_good_composition"", ""framing""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_006,006.jpg,docs/cameraanalysis/dataset/inbox/images/006.jpg,curated_user_inbox,user_curated_candidate,1280,720,8b632b7cfb1e98e9e651a936b93d33c3dd2f0d10f64ccdaf379fd5b2c9ea3db2,mixed,interview_portrait,мужчина в темном интерьере,[],"[""субъект или сцена недостаточно освещены""]","[""low_light""]","Возможно, субъекту нужен мягкий свет.","Лицо читается, но мягкий fill light улучшил бы отделение от темного фона.","[""add_front_fill_light""]",[],"[""level_horizon"", ""step_closer""]",medium,False,"[""portrait"", ""low_light""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_007,007.jpg,docs/cameraanalysis/dataset/inbox/images/007.jpg,curated_user_inbox,user_curated_candidate,1280,720,043b08e4a5956a44d3c35431daf10b1b78966d0e48e72f56d9a7d77098638c2e,mixed,group_dialogue_dark,трое людей в лесу,[],"[""субъект или сцена недостаточно освещены""]","[""low_light""]","Возможно, субъекту нужен мягкий свет.",Лица группы слабовато отделены от темного окружения.,"[""add_front_fill_light""]",[],"[""level_horizon"", ""step_closer""]",medium,False,"[""group_subject"", ""low_light""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_008,008.jpg,docs/cameraanalysis/dataset/inbox/images/008.jpg,curated_user_inbox,user_curated_candidate,1280,720,163c5d9fb64884b254e1a2fb49693fb2bfcbc4e600558d1cf96800d76a6cb4d8,good,outdoor_group_portrait,трое молодых людей на улице,"[""лицо или герой читается"", ""несколько людей читаются как группа""]",[],[],"Группа читается хорошо, сильных исправлений не нужно.","Группа компактная, лица читаются, фон не забирает внимание.","[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",high,False,"[""group_subject"", ""portrait""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_009,009.jpg,docs/cameraanalysis/dataset/inbox/images/009.jpg,curated_user_inbox,user_curated_candidate,1280,720,89b2aeafc32e7a358de775bd2b253073806fa98e4de0ace4b1539bd6e230d616,good,cinematic_close_portrait,мужчина в очках,"[""лицо или герой читается""]",[],[],Кадр читается хорошо: герой выделен светом и цветом.,"Лицо крупно и ясно, теплый фон вторичен.","[""keep_current_setup""]",[],"[""step_closer"", ""shift_frame_left""]",high,False,"[""portrait""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_010,010.jpg,docs/cameraanalysis/dataset/inbox/images/010.jpg,curated_user_inbox,user_curated_candidate,1280,720,c61493fe570004e08e7804fed2b41f73da6702934a97ee73f757075d17834b4b,good,cinematic_wide_establishing,человек спиной на фоне города,"[""пространство работает на историю""]",[],[],Оставь широкий план: пространство здесь работает на историю.,Город и широкий план являются частью смысла; не надо механически приближаться.,"[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",high,True,"[""demo_good_cinematic"", ""establishing""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_011,011.jpeg,docs/cameraanalysis/dataset/inbox/images/011.jpeg,curated_user_inbox,user_curated_candidate,1280,716,9e2b2d999ab1d3a3a91845d4533ed0d1bf15641b2e9a6aa51ee1c0bc2f78b86c,good,stage_performance_group,танцоры на сцене,"[""несколько людей читаются как группа""]",[],[],"Группа читается хорошо, сильных исправлений не нужно.",Сценический свет выделяет группу и действие.,"[""keep_current_setup""]",[],"[""remove_background_hotspot"", ""simplify_background""]",high,False,"[""stage"", ""group_subject""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_012,012.jpeg,docs/cameraanalysis/dataset/inbox/images/012.jpeg,curated_user_inbox,user_curated_candidate,1280,719,b3cf9571828035b0c31d4385dea318de5f4bc03d1a05317fa50ed7a32b1a09c2,good,dialogue_medium_shot,мужчина в диалоге,"[""лицо или герой читается""]",[],[],Кадр уже работает как диалоговая сцена.,Герой и собеседник создают понятную диалоговую сцену.,"[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",high,False,"[""dialogue"", ""portrait""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_013,013.jpeg,docs/cameraanalysis/dataset/inbox/images/013.jpeg,curated_user_inbox,user_curated_candidate,1280,714,ecbd839fb04b8baae6110ce23df862bff31d13ef9b7210ff2ef4bbd8fbdff1ae,mixed,event_group_scene,группа людей на мероприятии,[],"[""нет ясного главного субъекта""]","[""no_clear_focus""]","Возможно, стоит упростить фон или выбрать главный центр.","Событие понятно, но одного сильного центра внимания нет.","[""simplify_background"", ""shift_frame_right""]",[],"[""level_horizon""]",medium,False,"[""group_subject"", ""no_clear_focus""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
