record_id,filename,source_bucket,quality_label,scene_type,expected_semantic_actions,forbidden_actions,future_needed_actions,demo_priority
ca_img_001,001.jpg,curated_user_inbox,good,cinematic_single_portrait,keep_current_setup,level_horizon|step_closer|simplify_background|add_front_fill_light,,True
ca_img_002,002.jpg,curated_user_inbox,mixed,presentation_medium_shot,simplify_background|shift_frame_right,keep_current_setup|add_background_light,,False
ca_img_003,003.jpg,curated_user_inbox,good,cinematic_wide_portrait,keep_current_setup,step_closer|shift_frame_left|level_horizon,,True
ca_img_004,004.jpg,curated_user_inbox,good,two_person_stage_scene,keep_current_setup,step_closer|move_subject_left|move_subject_right,,False
ca_img_005,005.jpg,curated_user_inbox,good,stage_single_subject,keep_current_setup,simplify_background|shift_frame_left|level_horizon,,True
ca_img_006,006.jpg,curated_user_inbox,mixed,interview_portrait,add_front_fill_light,level_horizon|step_closer,,False
ca_img_007,007.jpg,curated_user_inbox,mixed,group_dialogue_dark,add_front_fill_light,level_horizon|step_closer,,False
ca_img_008,008.jpg,curated_user_inbox,good,outdoor_group_portrait,keep_current_setup,step_closer|simplify_background,,False
ca_img_009,009.jpg,curated_user_inbox,good,cinematic_close_portrait,keep_current_setup,step_closer|shift_frame_left,,False
ca_img_010,010.jpg,curated_user_inbox,good,cinematic_wide_establishing,keep_current_setup,step_closer|simplify_background,,True
ca_img_011,011.jpeg,curated_user_inbox,good,stage_performance_group,keep_current_setup,remove_background_hotspot|simplify_background,,False
ca_img_012,012.jpeg,curated_user_inbox,good,dialogue_medium_shot,keep_current_setup,step_closer|simplify_background,,False
ca_img_013,013.jpeg,curated_user_inbox,mixed,event_group_scene,simplify_background|shift_frame_right,level_horizon,,False
ca_img_014,014.jpeg,curated_user_inbox,mixed,event_group_scene,wait_for_background_clearance|simplify_background,level_horizon,,False
ca_img_015,015.jpeg,curated_user_inbox,good,stage_group_composition,keep_current_setup,step_closer|simplify_background,,True
ca_img_016,016.jpeg,curated_user_inbox,good,event_group_conversation,keep_current_setup,shift_frame_left|shift_frame_right,,False
ca_img_017,017.jpeg,curated_user_inbox,good,dialogue_two_person,keep_current_setup,step_closer|simplify_background,,False
ca_img_018,018.jpeg,curated_user_inbox,good,cinematic_single_portrait,keep_current_setup,add_front_fill_light|level_horizon,,True
ca_img_019,019.jpg,curated_user_inbox,good,dark_interior_mood,keep_current_setup,add_front_fill_light|step_closer,,True
ca_img_020,020.jpg,curated_user_inbox,good,object_still_life,keep_current_setup,simplify_background|step_closer,,True
ca_img_021,021.jpg,curated_user_inbox,good,dark_interior_window,keep_current_setup,add_front_fill_light|step_closer,,False
ca_img_022,022.jpg,curated_user_inbox,mixed,cinematic_portrait_low_light,add_front_fill_light,level_horizon|step_closer,,False
ca_img_023,023.jpg,curated_user_inbox,good,dark_window_mood,keep_current_setup,add_front_fill_light|step_closer,,False
ca_img_024,024.jpg,curated_user_inbox,mixed,night_landscape,,step_closer|level_horizon,,False
ca_img_025,025.jpg,curated_user_inbox,good,cinematic_corridor_silhouette,keep_current_setup,step_closer|add_front_fill_light,,False
ca_img_026,026.jpg,curated_user_inbox,good,dramatic_portrait,keep_current_setup,add_front_fill_light|step_closer,,True
ca_img_027,027.jpg,curated_user_inbox,good,cinematic_bts_camera,keep_current_setup,add_front_fill_light|simplify_background,,False
ca_img_028,028.jpg,curated_user_inbox,good,night_street_scene,keep_current_setup,level_horizon|add_front_fill_light,,False
ca_img_029,029.jpg,curated_user_inbox,good,interior_mood_light,keep_current_setup,add_front_fill_light|step_closer,,False
ca_img_030,030.jpg,curated_user_inbox,good,stage_single_subject,keep_current_setup,add_front_fill_light|simplify_background,,False
ca_img_031,031.jpg,curated_user_inbox,good,object_still_life,keep_current_setup,remove_distracting_object|step_closer,,True
ca_img_032,032.jpg,curated_user_inbox,mixed,abstract_blur,,level_horizon|step_closer|simplify_background,,False
ca_img_033,033.jpg,curated_user_inbox,mixed,film_set_group,simplify_background,level_horizon,,False
ca_img_034,034.jpg,curated_user_inbox,good,interior_lamp_mood,keep_current_setup,add_front_fill_light|step_closer,,False
ca_img_035,035.jpg,curated_user_inbox,mixed,night_car_detail,add_front_fill_light|add_background_light,level_horizon,,False
ca_img_036,036.jpg,curated_user_inbox,good,object_detail_book,keep_current_setup,add_front_fill_light|simplify_background,,False
