record_id,filename,quality_label,scene_type,primary_subject,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,review_status
ca_img_001,001.jpg,good,cinematic_single_portrait,молодой человек в оранжевой одежде,keep_current_setup,,level_horizon|step_closer|simplify_background|add_front_fill_light,high,True,ai_first_pass_needs_human_review
ca_img_002,002.jpg,mixed,presentation_medium_shot,спикер у флипчарта,simplify_background|shift_frame_right,,keep_current_setup|add_background_light,medium,False,ai_first_pass_needs_human_review
ca_img_003,003.jpg,good,cinematic_wide_portrait,человек на балконе у моря,keep_current_setup,,step_closer|shift_frame_left|level_horizon,high,True,ai_first_pass_needs_human_review
ca_img_004,004.jpg,good,two_person_stage_scene,двое людей с мечами,keep_current_setup,,step_closer|move_subject_left|move_subject_right,high,False,ai_first_pass_needs_human_review
ca_img_005,005.jpg,good,stage_single_subject,человек в проеме красных штор,keep_current_setup,,simplify_background|shift_frame_left|level_horizon,high,True,ai_first_pass_needs_human_review
ca_img_006,006.jpg,mixed,interview_portrait,мужчина в темном интерьере,add_front_fill_light,,level_horizon|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_007,007.jpg,mixed,group_dialogue_dark,трое людей в лесу,add_front_fill_light,,level_horizon|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_008,008.jpg,good,outdoor_group_portrait,трое молодых людей на улице,keep_current_setup,,step_closer|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_009,009.jpg,good,cinematic_close_portrait,мужчина в очках,keep_current_setup,,step_closer|shift_frame_left,high,False,ai_first_pass_needs_human_review
ca_img_010,010.jpg,good,cinematic_wide_establishing,человек спиной на фоне города,keep_current_setup,,step_closer|simplify_background,high,True,ai_first_pass_needs_human_review
ca_img_011,011.jpeg,good,stage_performance_group,танцоры на сцене,keep_current_setup,,remove_background_hotspot|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_012,012.jpeg,good,dialogue_medium_shot,мужчина в диалоге,keep_current_setup,,step_closer|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_013,013.jpeg,mixed,event_group_scene,группа людей на мероприятии,simplify_background|shift_frame_right,,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_014,014.jpeg,mixed,event_group_scene,толпа на мероприятии,wait_for_background_clearance|simplify_background,,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_015,015.jpeg,good,stage_group_composition,группа с повязками на сцене,keep_current_setup,,step_closer|simplify_background,high,True,ai_first_pass_needs_human_review
ca_img_016,016.jpeg,good,event_group_conversation,женщины на мероприятии,keep_current_setup,,shift_frame_left|shift_frame_right,medium,False,ai_first_pass_needs_human_review
ca_img_017,017.jpeg,good,dialogue_two_person,двое мужчин в разговоре,keep_current_setup,,step_closer|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_018,018.jpeg,good,cinematic_single_portrait,мужчина с газетой в тени,keep_current_setup,,add_front_fill_light|level_horizon,high,True,ai_first_pass_needs_human_review
ca_img_019,019.jpg,good,dark_interior_mood,темная комната с фигурой у окна,keep_current_setup,,add_front_fill_light|step_closer,high,True,ai_first_pass_needs_human_review
ca_img_020,020.jpg,good,object_still_life,камера и предметы на столе,keep_current_setup,,simplify_background|step_closer,high,True,ai_first_pass_needs_human_review
