record_id,case_id,mode,scenario,advice
pilot_v1_001,CC-T06,наведение/разбор; в записи мягкое предупреждение,Угол кадра размыт; палец частично закрывает край объектива.,Освободи край объектива — угол кадра перекрыт.
pilot_v1_002,CC-O08,подготовка/неподвижное наведение/разбор,"Герой стоит вплотную к стене, кадр плоский.","Если есть место, отодвинься от стены на шаг — появится глубина."
pilot_v1_003,CC-T05,наведение/разбор; в записи мягкое предупреждение,В кадре экран монитора; по снимку идут полосы.,В кадре мерцание от подсветки: смени свет или сними у окна.
pilot_v1_004,CC-R04,все применимые режимы,"Был совет «сдвинь чашку правее — прижата к краю»; пользователь выполнил, сцена сопоставима.",Стало лучше: чашка отошла от края.
pilot_v1_005,CC-V01,подготовка движения/запись/разбор фрагмента,Сопровождение идущего героя; он смещается к левому краю кадра.,Держи героя в отмеченной зоне кадра.
pilot_v1_006,CC-P02,подготовка/наведение/разбор,Герой повернулся вполоборота; нужное выражение не читается.,Повернись немного к камере.
pilot_v1_007,CC-S02,подготовка/наведение/разбор,Слоёный торт снят строго сверху; слои не видны.,Снимай торт строго сверху — это правильный ракурс для еды.
pilot_v1_008,CC-S01,подготовка/наведение/разбор,Предметная съёмка упаковки: лицевая сторона отвёрнута от камеры.,Поверни упаковку лицевой стороной к камере.
pilot_v1_009,CC-F01,фото/формат/повторный дубль,"Съёмка группы для ленты: целевой формат 4:5, крайний справа человек у будущей границы кадра.","Сместите группу чуть влево, чтобы крайний человек вошёл в область будущего формата."
pilot_v1_010,CC-P06,подготовка/наведение/разбор,Диалог двоих: взгляды уходят в разные стороны за пределы кадра.,Оставь место между героями и по направлению взглядов.
pilot_v1_011,CC-P04,подготовка/наведение/разбор,"Двое под навесом: один в глубокой тени, второй на свету.",Человек в тени плохо читается — переместите группу в более ровный свет.
pilot_v1_012,CC-P05,подготовка/наведение/разбор,Серия кадров: в момент съёмки у героя закрылись глаза.,Сделай ещё кадр: глаза закрылись.
pilot_v1_013,CC-R03,все применимые режимы,"Контровой свет даёт блик на посуде; чтобы его убрать, героя нужно развернуть спиной к окну, и лицо уйдёт в тень.","Разверни героя к окну, чтобы убрать блик с посуды."
pilot_v1_014,CC-O01,подготовка/неподвижное наведение/разбор,Две одинаковые настольные лампы; левая касается контура головы героя. Отметкой выделена левая.,"Сдвинь отмеченную левую лампу вправо, пока она не перестанет сливаться с головой."
pilot_v1_015,CC-O03,подготовка/неподвижное наведение/разбор,Ваза стоит за плечом героя и пересекает контур головы на фоне.,Сдвинь отмеченную вазу из области за головой.
pilot_v1_016,CC-R06,все применимые режимы,"Нет сети; облачный разбор недоступен, локальные подсказки продолжают работать.",Облачный разбор недоступен (нет сети). Локальные подсказки продолжают работать.
pilot_v1_017,CC-F03,фото/формат/повторный дубль,"Готовое фото: композиция упирается в правый край, слева осталось пустое место.",В следующем снимке оставь место справа: сейчас кадр обрезан по краю.
pilot_v1_018,CC-T02,наведение/разбор; в записи мягкое предупреждение,"Съёмка детали вышивки с рук, лёгкая тряска; смаз мешает читать стежки.","Смаз неизбежен — снимай в чёрно-белом стиле, так artistic."
pilot_v1_019,CC-I01,подготовка/наведение/разбор,"В кадре человек у окна и интересная лампа; оба выглядят значимыми, цель пользователем не выбрана.",Что снимаем: человека или лампу? Коснись цели на экране.
pilot_v1_020,CC-O06,подготовка/неподвижное наведение/разбор,Композиция заметно перевешивает вправо из-за книги на столе.,Перемести книгу на три сантиметра влево.
pilot_v1_021,CC-V06,подготовка движения/запись/разбор фрагмента,"Репетиция: герой проходит мимо фонаря, на проходе ожидается яркое пятно.",На проходе у фонаря будет яркое пятно: сдвинь траекторию чуть левее или прими его намеренно.
pilot_v1_022,CC-V04,подготовка движения/запись/разбор фрагмента,Во время проводки кадр периодически проходит мимо яркого окна и пересвечивается.,На проходе мимо окна держи точку экспозиции на герое.
pilot_v1_023,CC-R01,все применимые режимы,"Портрет у окна: выбранное лицо читается, фон спокойный.","Можно снимать: лицо читается, фон не мешает."
pilot_v1_024,CC-T03,наведение/разбор; в записи мягкое предупреждение,Тёмная сцена: фактура ткани на фото не читается.,"Если возможно, добавь света рядом со сценой."
pilot_v1_025,CC-O07,подготовка/неподвижное наведение/разбор,Чашка стоит на пёстром пледе и сливается с фоном.,"Поставь чашку на свободный участок стола, чтобы отделить её от пледа."
pilot_v1_026,CC-P03,подготовка/наведение/разбор,Чашка в руке героя закрывает нижнюю часть лица.,"Опусти чашку чуть ниже, чтобы открыть лицо."
pilot_v1_027,CC-V02,подготовка движения/запись/разбор фрагмента,Панорама слева направо выходит слишком резкой для выбранного плана.,"Веди телефон плавнее — движение быстрее, чем нужно для этого плана."
pilot_v1_028,CC-I05,подготовка/наведение/разбор,"Намеренный силуэт: герой снят против окна, лицо в тени — это выбранный стиль.",Лицо тёмное — добавь заполняющий свет.
pilot_v1_029,CC-V03,подготовка движения/запись/разбор фрагмента,"Статичный план стола, у рук микродрожание.",Удерживай телефон устойчивее: обопрись локтями или о поверхность.
pilot_v1_030,CC-I06,подготовка/наведение/разбор,У правого края кадра неизвестный тёмный предмет; надёжной области и названия нет.,Передвинь торшер слева чуть правее.
pilot_v1_031,CC-T01,наведение/разбор; в записи мягкое предупреждение,"Крупный план чашки на столе. Выбранная чашка стоит справа, резкость ушла на фон.",Наведи фокус на отмеченную чашку.
pilot_v1_032,CC-R02,все применимые режимы,"Выбранная кружка вышла из кадра, на экране остался старый совет про неё.","Подожди, совет ещё актуален."
pilot_v1_033,CC-O04,подготовка/неподвижное наведение/разбор,На столе рядом с целью лежит упаковка от товара.,Убери отмеченную упаковку из кадра.
pilot_v1_034,CC-P01,подготовка/наведение/разбор,Двое у стены: человек слева заслоняет лицо правого. Отмечен левый.,Человеку у отметки — немного вправо: откроется лицо соседа.
pilot_v1_035,CC-T04,наведение/разбор; в записи мягкое предупреждение,Сильный зум на дальнем здании; детали мыльные.,"Уменьши увеличение и подойди ближе, если это безопасно."
